"","survey_id","site","species","n","range","time","minutes","seconds","days.x","...10","...11","fid","id","weather","start_time","habitat","dom_veg","patch_id","elevation","days.y","sector","start_time_padded","start_time.dec","pres","days"
"206","Regen_69","Regen_69","willow_warbler",1,24.1,23.9333333333333,23,56,16,NA,NA,59,NA,"Sun, hot, still",2013,"3","Ling, vurch  molinia",NA,152,NA,"Rahoy","2013",20.2166666666667,1,16
"207","Regen_69","Regen_69","meadow_pipit",1,122.6,7.11666666666667,7,7,16,NA,NA,60,NA,"Sun, hot, still",2013,"3","Ling, vurch  molinia",NA,152,NA,"Rahoy","2013",20.2166666666667,1,16
"208","Regen_69","Regen_69","meadow_pipit",1,122.6,7.11666666666667,7,7,16,NA,NA,59,NA,"Sun, hot, still",2013,"3","Ling, vurch  molinia",NA,152,NA,"Rahoy","2013",20.2166666666667,1,16
"209","Regen_71","Regen_71","meadow_pipit",2,NA,10.1833333333333,10,11,15,NA,NA,51,NA,"Sunny, clear, hot, breeze",1938,"1","Molinia ling  cotton grass",NA,182,NA,"Clounlaid","1938",19.6333333333333,1,15
"210","Regen_71","Regen_71","skylark",1,5,24.7833333333333,24,47,15,NA,NA,51,NA,"Sunny, clear, hot, breeze",1938,"1","Molinia ling  cotton grass",NA,182,NA,"Clounlaid","1938",19.6333333333333,1,15
"211","Regen_71","Regen_71","meadow_pipit",1,NA,7.76666666666667,7,46,15,NA,NA,51,NA,"Sunny, clear, hot, breeze",1938,"1","Molinia ling  cotton grass",NA,182,NA,"Clounlaid","1938",19.6333333333333,1,15
"212","Regen_84","Regen_84","cuckoo",1,51,1.43333333333333,1,26,14,NA,NA,39,NA,"Cloudy, mild, breeze",633,"2","Ling, molinia,",NA,97,NA,"Claggan","0633",6.55,1,14
"213","Regen_84","Regen_84","meadow_pipit",1,51,1.43333333333333,1,26,14,NA,NA,39,NA,"Cloudy, mild, breeze",633,"2","Ling, molinia,",NA,97,NA,"Claggan","0633",6.55,1,14
"214","Tearnaitwest_18","Tearnaitwest_18","meadow_pipit",1,NA,18,18,0,24,NA,NA,86,NA,"Drizzle, cloudy, breeze",1415,"3","Birch  oak, ling, rowan, molinia, willow",NA,224,NA,"Tearnait","1415",14.25,1,24
"215","Tearnaitwest_18","Tearnaitwest_18","skylark",1,NA,20.6666666666667,20,40,24,NA,NA,86,NA,"Drizzle, cloudy, breeze",1415,"3","Birch  oak, ling, rowan, molinia, willow",NA,224,NA,"Tearnait","1415",14.25,1,24
